id,name,website,country,industry,assets,revenue
http://www.forbes.com/companies/state-bank-of-india/,State Bank of India,http://www.forbes.com/companies/state-bank-of-india/,India,Regional Banks,376800000000,37100000000
http://www.forbes.com/companies/time-warner/,Time Warner,http://www.forbes.com/companies/time-warner/,United States of America,Broadcasting,69900000000,29800000000
http://www.forbes.com/companies/philip-morris-international/,Philip Morris International,http://www.forbes.com/companies/philip-morris-international/,United States of America,Tobacco,38200000000,30900000000
http://www.forbes.com/companies/honeywell-international/,Honeywell International,http://www.forbes.com/companies/honeywell-international/,United States of America,Industrial Conglomerates,45400000000,39100000000
http://www.forbes.com/companies/express-scripts/,Express Scripts,http://www.forbes.com/companies/express-scripts/,United States of America,Health Care Services,53500000000,104200000000
http://www.forbes.com/companies/united-parcel-service/,United Parcel Service,http://www.forbes.com/companies/united-parcel-service/,United States of America,Air Freight & Logistics,36200000000,55500000000
http://www.forbes.com/companies/barclays/,Barclays,http://www.forbes.com/companies/barclays/,United Kingdom of Great Britain and Northern Ireland,Diversified Banks,2173400000000,55000000000
http://www.forbes.com/companies/pnc-financial-services/,PNC Financial Services,http://www.forbes.com/companies/pnc-financial-services/,United States of America,Regional Banks,324100000000,16500000000
http://www.forbes.com/companies/deutsche-post/,Deutsche Post,http://www.forbes.com/companies/deutsche-post/,,Air Freight & Logistics,48900000000,73100000000
http://www.forbes.com/companies/aia-group/,AIA Group,http://www.forbes.com/companies/aia-group/,Hong Kong,Life & Health Insurance,145200000000,20700000000
http://www.forbes.com/companies/duke-energy/,Duke Energy,http://www.forbes.com/companies/duke-energy/,United States of America,Electric Utilities,114800000000,24600000000
http://www.forbes.com/companies/delta-air-lines/,Delta Air Lines,http://www.forbes.com/companies/delta-air-lines/,United States of America,Passenger Airlines,59400000000,37700000000
http://www.forbes.com/companies/deutsche-bank/,Deutsche Bank,http://www.forbes.com/companies/deutsche-bank/,,Diversified Banks,2220400000000,61100000000
http://www.forbes.com/companies/national-grid/,National Grid,http://www.forbes.com/companies/national-grid/,United Kingdom of Great Britain and Northern Ireland,Gas Utilities,83900000000,23400000000
http://www.forbes.com/companies/abb/,ABB,http://www.forbes.com/companies/abb/,Switzerland,Industrial Conglomerates,48400000000,41800000000
http://www.forbes.com/companies/amgen/,Amgen,http://www.forbes.com/companies/amgen/,United States of America,Biotechnology,66100000000,18700000000
http://www.forbes.com/companies/ei-du-pont-de-nemours/,EI du Pont de Nemours,http://www.forbes.com/companies/ei-du-pont-de-nemours/,United States of America,Diversified Chemicals,51500000000,35900000000
http://www.forbes.com/companies/loreal-group/,L'Oréal Group,http://www.forbes.com/companies/loreal-group/,France,Household Products,43100000000,30500000000
http://www.forbes.com/companies/manulife-financial/,Manulife Financial,http://www.forbes.com/companies/manulife-financial/,Canada,Life & Health Insurance,467000000000,17600000000
http://www.forbes.com/companies/british-american-tobacco/,British American Tobacco,http://www.forbes.com/companies/british-american-tobacco/,United Kingdom of Great Britain and Northern Ireland,Tobacco,44500000000,23900000000
http://www.forbes.com/companies/saic-motor/,SAIC Motor,http://www.forbes.com/companies/saic-motor/,China,Automobile Manufacturers,56400000000,88300000000
http://www.forbes.com/companies/oil-natural-gas/,Oil & Natural Gas,http://www.forbes.com/companies/oil-natural-gas/,India,Integrated Oil & Gas,53800000000,29600000000
http://www.forbes.com/companies/walgreen/,Walgreen,http://www.forbes.com/companies/walgreen/,United States of America,Drug Retail,37100000000,74200000000
http://www.forbes.com/companies/kddi/,KDDI,http://www.forbes.com/companies/kddi/,Japan,Integrated Telecommunication Services,46100000000,42300000000
http://www.forbes.com/companies/valero-energy/,Valero Energy,http://www.forbes.com/companies/valero-energy/,United States of America,Integrated Oil & Gas,47300000000,138100000000
http://www.forbes.com/companies/ptt-pcl/,PTT PCL,http://www.forbes.com/companies/ptt-pcl/,Thailand,Integrated Oil & Gas,54800000000,92500000000
http://www.forbes.com/companies/travelers-cos/,Travelers Cos,http://www.forbes.com/companies/travelers-cos/,United States of America,Property & Casualty Insurance,105600000000,26200000000
http://www.forbes.com/companies/canadian-imperial-bank/,Canadian Imperial Bank,http://www.forbes.com/companies/canadian-imperial-bank/,Canada,Diversified Banks,359600000000,16700000000
http://www.forbes.com/companies/astrazeneca/,AstraZeneca,http://www.forbes.com/companies/astrazeneca/,United Kingdom of Great Britain and Northern Ireland,Pharmaceuticals,55900000000,25700000000
http://www.forbes.com/companies/deere-co/,Deere & Co,http://www.forbes.com/companies/deere-co/,United States of America,Construction Machinery & Heavy Transportation Equipment,57700000000,38000000000
http://www.forbes.com/companies/union-pacific/,Union Pacific,http://www.forbes.com/companies/union-pacific/,United States of America,Rail Transportation,49700000000,22000000000
http://www.forbes.com/companies/mcdonalds/,McDonald's,http://www.forbes.com/companies/mcdonalds/,United States of America,Restaurants,36600000000,28100000000
